"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","ParentTxFrom","ParentTxTo","ParentTxETH_Value","From","TxTo","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3001.63553803846/Eth","Historical $Price/Eth","Status","ErrCode","Type","PrivateNote"
"0x39effaa3280ee43c84af8db7936d0bf982bc72ea2f50af30bdcd5461eff6cdb5","13710360","1638213710","2021-11-29 19:21:50","0xb6e040c9ecaae172a89bd561c5f73e1c48d28cd9","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","","4369.256902770582850334","0","13114916.794176","4448.49","0","","call",""
"0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af","14491291","1648693789","2022-03-31 02:29:49","0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x2686a8919df194aa7673244549e68d42c1685d03","","0","6","18009.8132282308","3282.78","0","","call",""
"0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af","14491291","1648693789","2022-03-31 02:29:49","0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x9718ba71dc1284842fce66dc3e34dffc6c630074","","0","1","3001.63553803846","3282.78","0","","call",""
"0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260","15342188","1660513350","2022-08-14 21:42:30","0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x91c32893216de3ea0a55abb9851f581d4503d39b","","0","25","75040.8884509615","1936.02","0","","call",""
"0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260","15342188","1660513350","2022-08-14 21:42:30","0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","","0","90","270147.198423461","1936.02","0","","call",""
"0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260","15342188","1660513350","2022-08-14 21:42:30","0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x2686a8919df194aa7673244549e68d42c1685d03","","0","156","468255.143934","1936.02","0","","call",""
"0xc8d9642d71f6f1b391bef1721df445de003ac2b9e798af92b357ee7b2abe5eae","15735426","1665618671","2022-10-12 23:51:11","0x7830c87c02e56aff27fa8ab1241711331fa86f43","0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43","0","0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","","0.01159232","0","34.795919680314","1294.29","0","","call",""
"0xc144bec998f8aa28caa8c0facc968f3bae20041cff88a8b8abc291ca1e7dda53","16590147","1675932983","2023-02-09 08:56:23","0xc3792470cee7e0d42c2be8e9552bd651766c5178","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0x283af0b28c62c092c9727f1ee09c02ca627eb7f5","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","","37509.437571472566505637","0","112589660.826367","1545.78","0","","call",""
"0xc144bec998f8aa28caa8c0facc968f3bae20041cff88a8b8abc291ca1e7dda53","16590147","1675932983","2023-02-09 08:56:23","0xc3792470cee7e0d42c2be8e9552bd651766c5178","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","10000","30016355.3803846","1545.78","0","","call",""
"0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7","16590216","1675933823","2023-02-09 09:10:23","0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5","0x323a76393544d5ecca80cd6ef2a560c6a395b7e3","0","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x2686a8919df194aa7673244549e68d42c1685d03","","0","254","762415.426661769","1545.78","0","","call",""
